#{"t_start": 1607447852.2799942, "env_id": null}
r,l,t
-0.4,3001,12462.637947
-0.4,3001,12510.933553
-0.6,3001,12559.498563
-0.1,3001,12608.438863
-2.3,3001,12657.65012
-2.3,3001,12704.828297
-0.7,3001,12753.477065
0.0,3001,12801.264634
0.2,3001,12889.718949
-1.5,3001,12939.359357
-0.9,3001,12988.877366
0.6,3001,13038.31835
-1.7,3001,13086.657323
0.2,3001,13134.11999
-1.7,3001,13182.924319
-0.3,3001,13231.569038
-0.4,3001,13279.399264
-0.8,3001,13328.390294
-1.0,3001,13416.292363
0.5,3001,13464.699396
-0.3,3001,13513.618226
-2.8,3001,13562.768604
0.3,3001,13611.991041
-2.4,3001,13661.351682
-3.6,3001,13710.199553
0.3,3001,13758.415464
-4.6,3001,13807.211119
-2.3,3001,13855.035349
-1.3,3001,13943.654535
-0.8,3001,13991.972646
-3.5,3001,14041.565619
-2.5,3001,14090.728016
-0.1,3001,14140.284094
1.0,3001,14188.699708
0.3,3001,14236.423254
0.6,3001,14285.178625
-1.4,3001,14334.153021
0.6,3001,14383.0402
0.3,3001,14471.681702
-0.4,3001,14520.659284
-0.6,3001,14570.790083
-2.7,3001,14619.920981
-0.6,3001,14668.01123
-1.6,3001,14716.171939
-2.7,3001,14765.69644
-1.6,3001,14814.22734
-0.3,3001,14864.074765
0.4,3001,14913.238994
-1.6,3001,15001.748264
0.5,3001,15049.282692
-0.4,3001,15098.400145
-1.3,3001,15146.704908
-0.7,3001,15195.931185
-1.6,3001,15245.20473
-1.3,3001,15294.151519
-0.5,3001,15343.269849
-2.4,3001,15389.758997
0.5,3001,15438.608103
-1.5,3001,15528.795441
-0.4,3001,15577.421851
-1.7,3001,15626.128123
-0.4,3001,15675.041309
-3.4,3001,15724.80933
0.0,3001,15771.710551
-1.4,3001,15821.62261
-0.4,3001,15869.677368
0.5,3001,15918.048079
-2.5,3001,15966.923553
-5.5,3001,16055.919324
-0.6,3001,16105.770401
-2.7,3001,16154.485812
-0.2,3001,16203.843708
-1.6,3001,16253.010572
-0.7,3001,16301.347444
0.2,3001,16349.688166
-0.3,3001,16399.059433
-0.4,3001,16448.509472
0.5,3001,16497.906592
-0.6,3001,16583.817713
2.0,3001,16632.494279
0.7,3001,16681.95904
-0.5,3001,16730.905143
-1.3,3001,16780.461759
-0.5,3001,16828.661258
-1.5,3001,16878.122677
-1.6,3001,16925.135701
0.6,3001,16974.139352
-1.6,3001,17023.204778
2.0,3001,17110.241214
-1.6,3001,17158.274643
0.9,3001,17207.717911
0.3,3001,17256.606487
-0.4,3001,17303.202019
1.0,3001,17351.723091
-1.4,3001,17401.001816
-0.5,3001,17449.811882
-1.4,3001,17499.533685
-2.5,3001,17547.923834
0.8,3001,17635.144311
-0.7,3001,17681.845949
-0.7,3001,17730.546051
-1.7,3001,17778.750212
-1.6,3001,17827.879824
-2.3,3001,17876.039083
-0.5,3001,17924.708467
-1.5,3001,17973.329144
-2.5,3001,18020.985621
-1.4,3001,18069.796342
-1.4,3001,18158.424016
-1.6,3001,18206.461944
0.4,3001,18256.115635
-1.4,3001,18305.074806
-0.5,3001,18354.734318
-1.3,3001,18403.247565
-0.4,3001,18450.465964
0.4,3001,18498.990872
